stage-name,dow,bname,gname,gender,dob,dod,role type,picture pointer,notes,award,,,,
Willie Aames,,Aames,William,M,1960,199x,RU:,Am,,,,,,
Bud Abbott,1939-1956,Abbott,William,M,1895,1974,R:straight, comedian,Am,,,,,
Diahnne Abbott,1976-1982,,,F,[1][23],199x,R:sexy,Am,,,,,,
George Abbott,1928-1958,Abbott,George,M,1887,199x,R:playwright, producer,Am,,,,,
John Abbott,1937-1975,Abbott,John,M,1905,199x,R:staring eyes, eccentric parts,Br,,,,,
Philip Abbott,1957-1973,Abbott,Philip,M,1923,199x,R:second lead,Am,,,,,,
Kareem AbdulJabbar,,,,M,[1],199x,R:basketball player,Am,,,,,,
Walter Abel,1935-1974,Abel,Walter,M,1898,1987,R:harrassed hero,Am,,,,,,
F.Murray Abraham,1983,,,M,[1][23],199x,RU:,Un,,,,,,
James Abrahams,,,,M,[1][23],199x,RU:,Un,,,,,,
Maury Abram,,,,,[1][23],199x,RU:,Un,,,,,,
Victoria Abril,1985-1990,,,F,[1][23],199x,R:sexy,Portugse,,,,,,
Joss Ackland,1949-1979,Ackland,Joss,M,1928,199x,R:larger-than-life personality,Br,,,,,,
Dan Ackroyd,1979-1990,Ackroyd,Dan,M,[23],199x,R:comic,Am,,,,,,
David Ackroyd,,,,M,1940,199x,RU:,Am,,,,,,
Peter Ackroyd,,,,M,[1],199x,RU:,Un,,,,,,
Rodolfo Acosta,1948-1967,Acosta,Rodolfo,M,1920,1974,R:cold-eyed,Am-Me,,,,,,
Eddie Acuff,1935-1947,Acuff,Eddie,M,1902,1956,R:supporting comedian,Am,,,,,,
Jean Adair,1922-1947,Adair,Jean,F,1872,1956,R:sweet aunt,Am,,,,,,
Alfred Adam,1935-1961,Adam,Alfred,M,1909,1982,R:weak, villainous,Fr,,,,,
Ronald Adam,1938-1971,Adam,Ronald,M,1896,1979,R:well-bred, stuffy professional,Br,,,,,
John Adames,,,,M,[1][23],199x,RU:,Un,,,,,,
Beverly Adams,1963-1967,Adams,Beverly,F,1945,199x,R:lead,Ca,,,,,,
Brooke Adams,1977-1983,Adams,Brooke,F,1949,199x,R:laid-back,Am,,,,,,
Catlin Adams,,Barab,Catlin,,1950,199x,RU:,Am,,,,,,
Dorothy Adams,1938-1976,Adams,Dorothy,F,1915,199x,R:timorous sullen,Am,,,,,,
Edie Adams,1960-1979,Enke,Elizabeth Edith,F,1929,199x,R:pert comedienne,Am,,,,,,
Jane Adams,1945-1949,Adams,Jane,F,1921,199x,RU:,Am,,,,,,
Jill Adams,1954-1966,Adams,Julia,F,1931,199x,R:pert light lead,Br,,,,,,
Julie Adams,1947-1981,Adams,S{Betty May (Julia),F,1926,199x,R:soft,Am,,,,,,
Maud Adams,1952-1967,Wikstrom,Maude,F,1950,199x,R:lead,Sw-Am,,,,,,
Nick Adams,1952-1967,Adamschock,Nicholas,M,1931,1968,R:neurotic aggressive lead,Am,,,,,,
Robert Adams,1935-1947,Adams,Robert,M,1906,199x,R:black,WI,,,,,,
Sam Adams,,,,M,[1][23],199x,R:comic,,,,,,,
Tome Adams,1963-1975,Adams,Tome,M,1938,199x,R:burly,Br,,,,,,
Dawn Addams,1951-1977,Addams,Dawn,F,1930,1985,R:smart, glamorous,Br,,,,,
Wesley Addy,1951-1982,Addy,Wesley,M,1912,1997,R:humourless, sinister,Am,,,,,
Isabelle Adjani,1971-1983,Adjani,Isabelle,F,1955,199x,R:lead,Fr-Ge,,,,,,
Jay Adler,1938-1965,Adler,Jay,M,1899,1978,R:character,Am,,,,,,
Luther Adler,1937-1981,Adler,Lutha,M,1903,1984,R:heavy,Am,,,,,,
Renee Adoree,1920-1930,de la Fontè,Jeanne,F,1898,1933,R:exotic,Fr,,,,,,
Mario Adorf,1959-1981,Adorf,Mario,M,1930,199x,R:European films,Zw,,,,,,
Max Adrian,1934-1971,Bor,Max,M,1902,1973,R:high camp personality,Ir,,,,,,
John Agar,1948-1976,Agar,John,M,1921,199x,R:lead,Am,,,,,,
Rati Agnihotri,1985,bn,fn,F,1960,199x,R:modern dancer,In,,,,,,
Jenny Agutter,1964-1981,Agutter,Jenny,F,1952,199x,R:lead,Br,,,,,,
Brian Aherne,1924-1967,Aherne,Brian,M,1902,1986,R:gentle lead,Br,,,,,,
Philip Ahn,1936-1975,Ahn,Philip,M,1911,1978,R:Asiatic,Am,,,,,,
Anouk Aimée,1947-1983,Dreyfus,Fran{c}coise Sorya,F,1932,199x,R:poised heartthrob,Fr,,,,,,
Richard Ainley,1936-1949,Ainley,Richard,M,1910,1967,RU:,Br,,,,,,
Maria Aitkins,1989,,,F,[1][23],199x,RU:,Un,,,,,,
Franklyn Ajaye,1976-1978,,,M,1949,199x,RU:,Am,,,,,,
Muriel Aked,1922-1953,Aked,Muriel,F,1887,1955,R:comedy spinster, gossip,Br,,,,,
Claude Akins,1953-1979,Akins,Claude,M,1918,1994,R:western villain, burly middle-aged hero,Am,,,,,
Serap Aksoy,1991,Aksoy,Serap,F,,199x,R:sr,Tu,,,,,,
Josh Albee,1979,,,M,[1],199x,RU:,Un,,,,,,
Anna Maria Alberghetti,1951-1960,Alberghetti,Anna Maria,F,1936,199x,R:singer,It,,,,,,
Han Albers,1923-1960,Albers,Han,M,1892,199x,R:lead,Ge,,,,,,
Eddie Albert,1938-1982,Heimberger,Eddie Albert,M,1908,199x,R:honest Joe,Am,,,,,,
Edward Albert,1965-1982,Albert,Edward,M,1951,199x,R:light,Am,,,,,,
Edward Albert jr.,,,,M,[1],199x,RU:,Un,,,,,,
William Albert,1982,,,M,[1],199x,RU:,Un,,,,,,
Frank Albertson,1928-1963,Albertson,Frank,M,1907,1981,R:straight,Am,,,,,,
Jack Albertson,1947-1978,Albertson,Jack,M,1907,1981,R:character,Am,,,,,,
Mabel Albertson,1939-1970,Albertson,Mabel,F,1901,1982,R:nosey neighbour, wise and witty grandma,Am,,,,,
Hardie Albright,1931-1957,Albrecht,Hardy,M,1903,1971,R:underused lead,Am,,,,,,
Lola Albright,1949-1968,Albright,Lola,F,1925,199x,R:stylish, tough-talking,Am,,,,,
Alan Alda,1963-1982,Alda,Alan,M,1936,199x,R:lead,Am,,,,,,
Robert Alda,1945-1976,d'Abruzzo,Alphonso,M,1914,1986,RU:,Un,,,,,,
Rutanya Alda,1978-1982,,,F,[1],199x,R:},Un,,,,,,
John Alderton,1964-1976,Alderton,John,M,1940,199x,R:light lead,Br,,,,,,
Vera Alentova,1980,,,F,[1],199x,RU:,Un,,,,,,
Ben Alexander,1917-1957,Alexander,Nicholas Benton,M,1911,1969,R:boy actor,Am,,,,,,
Jane Alexander,1970-1983,Quigley,Jane,F,1939,199x,R:regal,Am,,,,,,
John Alexander,1936-1960,Alexander,John,M,1901,1982,R:portly,Am,,,,,,
Katherine Alexander,1934-1949,Alexander,Katherine,F,1901,1981,R:sympathetic,Am,,,,,,
Ross Alexander,1932-1937,Alexander,Ross,M,1907,1937,R:lead,Am,,,,,,
Sandy Alexander,1983,,,,[1],199x,RU:,Un,,,,,,
Terence Alexander,1951-1979,Alexander,Terence,M,1923,199x,R:ineffectual,Br,,,,,,
Hope AlexanderWells,,,,F,[1],199x,RU:,Un,,,,,,
Muhammed Ali,1977,Clay,Cassius,M,1942,199x,RU:,Black-Am,,,,,,
Dorothy Alison,1952-1972,Alison,Dorothy,F,1925,199x,RU:,Au,,,,,,
Andrea Allan,,,,F,[1],199x,RU:,Un,,,,,,
Elizabeth Allan,1931-1958,Allan,Elizabeth,F,1908,199x,R:delicate or aristocratic heroines,Br,,,,,,
William Alland,1941-1961,Alland,William,M,1916,199x,R:enquiring reporter,Am,,,,,,
Chesney Allen,1935-1944,Allen,Chesney,M,1894,1982,R:light comedian,Br,,,,,,
Catherine Allegret,1965,,,F,,199x,RU:,Fr,,,,,,
Elizabeth Allen,1960-1972,Gillease,Elizabeth,F,1934,199x,R:lead,Am,,,,,,
