AA,title,actor,type,role
AA13,Pygmalion,Leslie Howard,Sci,"R:smug professor ""Higgins"""
AA13,Pygmalion,Wendy Hiller,Inn,"R:flower girl ""Eliza"""
AA13,Pygmalion,Wilfrid Lawson,Und,"R:friend ""Dolittle"""
AA13,Pygmalion,Scott Sunderland,Und,"R:betting Colonel ""Pickering"""
AA13,Pygmalion,Marie Lohr,Und,"R:wife ""Mrs.Higgins"""
AA13,Pygmalion,David Tree,Und,RU:
AA13,Pygmalion,Esme Percy,Und,RU:
AA13,Pygmalion,Everley Gregg,Und,RU:
AA13,Pygmalion,Jean Cadell,Und,RU:
AA14,French Without Tears,Ray Milland,Und,RZ:schoolboy
AA14,French Without Tears,Ellen Drew,Und,R:teacher
AA14,French Without Tears,Guy Middleton,Und,R:schoolboy
AA14,French Without Tears,Ronald Culver,Und,RS:schoolboy
AA16,Quiet Wedding,Margaret Lockwood,Und,R:bride
AA16,Quiet Wedding,Derek Farr,Und,R:bridegroom
AA16,Quiet Wedding,A.E. Matthews,Und,RU:
AA16,Quiet Wedding,Marjorie Fielding,Und,R:mother
AA16,Quiet Wedding,Athene Seyler,Und,RU:
AA16,Quiet Wedding,Peggy Ashcroft,Und,RU:
AA16,Quiet Wedding,Margaretta Scott,Und,RU:
AA16,Quiet Wedding,Bernard Miles,Und,RU:
AA29,The Importance of Being Earnest,Michael Redgrave,Und,R:bachelor
AA29,The Importance of Being Earnest,Michael Denison,Und,R:bachelor
AA29,The Importance of Being Earnest,Edith Evans,Und,R:rich daughter
AA29,The Importance of Being Earnest,Margaret Rurtherford,Und,RU:
AA29,The Importance of Being Earnest,Jaen Greenwood,Und,RU:
AA29,The Importance of Being Earnest,Miles Malleson,Und,RU:
AA29,The Importance of Being Earnest,Doroty Tutin,Und,RU:
AA29,The Importance of Being Earnest,Walter Hudd,Und,RU:
AA37,Libel,Dirk Bogarde,Und,RU:
AA37,Libel,Olivia deHavilland,Und,RU:
AA37,Libel,Paul Massie,Und,RU:
AA37,Libel,Wilfrid Hyde White,Und,RU:
AA37,Libel,Robert Morley,Und,RU:
AA37,Libel,Anthony Dawson,Und,RU:
AA37,Libel,Richard Wattis,Und,RU:
AA3,Libel,Martin Miller,Und,RU:
AA37,Libel,Millicent Martin,Und,RU:
AA38,The Millionairess,Peter Sellers,Und,R:poor Indian doctor
AA38,The Millionairess,Sophia Loren,Und,"R:millionairess, falls for doctor"
AA38,The Millionairess,Alastair Sim,Und,RU:
AA38,The Millionairess,Vittorio deSics,Und,RU:
AA38,The Millionairess,Dennis Price,Und,RU:
AA38,The Millionairess,Gary Raymond,Und,RU:
AA38,The Millionairess,Alfie Bass,Und,RU:
AA41,The VIPs,Richard Burton,Und,R:delayed passenger
AA41,The VIPs,Elizabeth Taylor,Und,R:delayed passenger
AA41,The VIPs,Maggie Smith,Und,RU:
AA41,The VIPs,Rod Taylor,Und,RU:
AA41,The VIPs,Margaret Rutherford,Und,RU:
AA41,The VIPs,Louis Jordon,Und,RU:
AA41,The VIPs,Elsa Martinelli,Und,RU:
AA41,The VIPs,Orson Welles,Und,RU:
AA41,The VIPs,Linda Chistian,Und,RU:
AA41,The VIPs,Dennis Price,Und,RU:
AA41,The VIPs,Richard Wattis,Und,RU:
AA41,The VIPs,David Frost,Und,RU:
AA41,The VIPs,Robert Coote,Und,RU:
AA41,The VIPs,Joan Benham,Und,RU:
AA41,The VIPs,Michael Hodern,Und,RU:
AA41,The VIPs,Lance Percival,Und,RU:
AA41,The VIPs,Martin Miller,Und,RU:
AaB10,A Private Function,Michael Palin,Und,R:podiatrist
AaB10,A Private Function,Maggie Smith,Und,R:ambitious wife
AaB10,A Private Function,Denholm Elliott,Und,RU:
AaB10,A Private Function,Richard Griffiths,Und,RU:
AaB10,A Private Function,Tony Haygarth,Und,RU:
AaB10,A Private Function,Liz Smith,Und,RU:
AaB10,A Private Function,John Normington,Und,RU:
AaB10,A Private Function,s a,Ani,"R:fattened, unlicensed pig"
AAl6,The Four Seasons,Alan Alda,Und,R:husband 1
AAl6,The Four Seasons,Carol Burnett,Und,R:wife 1
AAl6,The Four Seasons,Len Cariou,Und,R:husband 2
AAl6,The Four Seasons,Sandy Dennis,Und,R:wife 2
AAl6,TZ:The Four Seasons,Rita Moreno,Und,RU:
AAl6,TZ:The Four Seasons,Jack Weston,Und,R:husband 3
AAl6,TZ:The Four Seasons,Bess Armstrong,Und,R:wife 3
AAl10,Sweet Liberty,Alan Alda,Her,"R:professor, author"
AAl10,Sweet Liberty,Michael Caine,Vil,R:conceited movie star
AAl10,Sweet Liberty,Michelle Pfeiffer,Sav,R:sympathetic movie star
AAl10,Sweet Liberty,Bob Hoskins,Sav,"R:cynical screenwriter, helpful"
AAl10,Sweet Liberty,Lise Hilboldt,Lov,"R:professor, has fling"
AAl10,Sweet Liberty,Lillian Gish,Und,R:mother
AAl10,Sweet Liberty,Saul Rubinek,Und,R:cold director
AAl10,Sweet Liberty,Lois Chiles,Und,R:actor's suspicious wife
AAl20,Betsy's Wedding,Molly Ringwald,Und,"R:bride ""Betsy"""
AAl20,Betsy's Wedding,Alan Alda,Und,"R:down-on-his-luck contractor, father of the bride"
AAl20,Betsy's Wedding,Joey Bishop,Und,R:grandfather of the bride
AAl20,Betsy's Wedding,Madeleine Kahn,Und,R:once-radical mother of the bride
AAl20,Betsy's Wedding,Ally Sheedy,Und,"R:sister of the bride, intelligent cop ""Connie"""
AAl20,Betsy's Wedding,Anthony LaPaglia,Und,"R:Mafia businessman, loves Connie"
AAl20,Betsy's Wedding,Julie Bovassa,Und,R:grandmother of the bride
AAl20,Betsy's Wedding,Joe Pesci,Und,R:sleazy uncle
AAl20,Betsy's Wedding,Catherine OHara,Und,R:aunt
AAl20,Betsy's Wedding,Dylan Walsh,Und,R:bridegroom
AAl20,Betsy's Wedding,Burt Young,Und,RU:
AAn10,Gas Food Lodging,Brooke Adams,Und,R:single mother
AAn10,Gas Food Lodging,Ione Skye,Und,R:rebellious daughter
AAn10,Gas Food Lodging,Faraizu Baik,Und,"R:younger, dreamy daughter, narrates"
AAn10,Gas Food Lodging,Donovan Leitch,Und,R:cable TV installer
AAn12,Mi Vida Loca,Angel Avilea,Und,RU:
AAn12,Mi Vida Loca,Seidy Lopez,Und,RU:
AAn12,Mi Vida Loca,Jacob Vargas,Und,RU:
AAr10,TZ:Rock 'N Roll High School,P.J. Sales,Und,R:leader
AAr10,TZ:Rock 'N Roll High School,Vincent VanPatten,Und,RU:
AAr10,Rock 'N Roll High School,Clint Howard,Und,RU:
AAr10,Rock 'N Roll High School,The Ramones,Und,R:rock band
AAr10,Rock 'N Roll High School,Paul Bartel,Und,RU:
AAr10,Rock 'N Roll High School,Alix Elias,Und,RU:
AAr20,TZ:Heartbeeps,Andy Kaufman,Und,R:amorous robot
AAr20,TZ:Heartbeeps,Bernadette Peters,Und,R:amorous robot
AAr20,TZ:Heartbeeps,Randy Quaid,Und,RU:
AAr20,TZ:Heartbeeps,Melanie Mayron,Und,RU:
aAS24,I Love New York,Scott Baio,Und,RU:
AAt10,A Place in the World,Gaston Batyi,Und,"R:young man, returns home"
AAt10,A Place in the World,Jose Sacristan,Und,RU:
AAt10,A Place in the World,Frederico Luppi,Und,RU:
AAt10,A Place in the World,Cecilia Roth,Und,RZ:first love
AAt10,A Place in the World,Leonor Benedetto,Und,RU:
AB2,Thais,Thais Galizky,Und,RU:
AbA10,Il processo Clemenceau,Francesca Bertini,Und,RU:
AbA10,Il processo Clemenceau,Gustavo Serena,Und,RU:
AbA10,Il processo Clemenceau,Alfredo DeAntoni,Und,RU:
AbA10,Il processo Clemenceau,Lido Manetti,Und,RU:
AbA10,Il processo Clemenceau,Nella Montagna,Und,RU:
AbA10,Il processo Clemenceau,Vittorio DeSica,Und,RU:
ABd4,I Bury the Living,Richard Boone,Und,RU:
ABd4,I Bury the Living,Theodore Bikel,Und,RU:
ABe10,Ma Vie En Rose,Georges duFresne,Und,"R:little boy, thinks he's a girl"
AbF10,Ms. 45,Zoe Tamerlis,Und,"R:mute, raped twice, revenges"
AbF10,TZ:Ms. 45,Steve Singer,Und,RU:
AbF10,Ms. 45,Jack Thibeau,Und,RU:
AbF10,Ms. 45,Peter Yellen,Und,RU:
AbF20,King of New York,Christopher Walken,Und,R:drug lord
AbF25,Bad Luitenant,Harvey Keitel,Und,R:cop gone awry
AbF25,Bad Luitenant,Zoe Lund,Und,R:junkie girlfriend
AbF25,Bad Luitenant,Frankie Thorn,Und,R:raped nun
AbF26,Dangerous Game,Madonna,Und,R:star
AbF26,Dangerous Game,Harvey Keitel,Und,"R:director, confused"
AbF26,Dangerous Game,James Russo,Und,RU:
AbF27,Body Snatchers,Gabrielle Anwar,Und,"R:petulant teenager, attacked in sleep ""Marti Malone"""
AbF27,Body Snatchers,Terry Kinney,Und,R:father
AbF27,Body Snatchers,Meg Tilly,Und,R:seductive stepmother
AbF27,Body Snatchers,Reilly Murphy,Und,R:Marti's son
ABi10,Burning Secret,Faye Dunaway,Lov,R:diplomat's wife
ABi10,Burning Secret,Klaus Maria Brandauer,Und,R:romantic wounded baron
ABi10,Burning Secret,David Ebbets,Und,R:asthmatic son
ABi10,Burning Secret,Ian Richardson,Und,R:aging diplomat
ABi10,Burning Secret,John Nettleton,Sci,R:doctor
ABi10,TZ:Burning Secret,N. Ottering,Und,R:concierge
ABi20,The Cement Garden,Andrew Robertson,Und,"R:miserable teenager, loves older sister ""Jack"""
ABi20,The Cement Garden,Sinead Cusack,Und,R:ailing mother
ABi20,The Cement Garden,Charlotte Gainsbourg,Und,R:incestuous older sister
ABl10,Too Bad She's Bad,Sophia Loren,Und,R:freeliving daughter
ABl10,Too Bad She's Bad,Vittorio deSica,Und,R:accomplished pickpocket father
ABl10,Too Bad She's Bad,Marcello Mastroianni,Und,RU:
ABo10,And God Spoke,Michael Riley,Und,"R:unlucky director ""Clive Walton"""
ABo10,And God Spoke,Stephen Rappaport,Und,"R:failing epic producer ""Marvin Handleman"""
ABo10,And God Spoke,s a,Und,"R:tatooed vrigin ""Mary"""
ABr1,Real Life,Albert Brooks,Und,"R:ducumentary movie director, frustrated, burns All-American house down"
ABr1,Real Life,Frances Lee McCain,Und,"R:All-American mother ""Jeanette Yeager"""
ABr1,Real Life,s a,Und,R:All-American father
ABr1,Real Life,Charles Grodin,Und,RU:
ABr2,Modern Romance,Albert Brooks,Und,RU:
ABr2,TZ:Modern Romance,Kathryn Harrold,Und,RU:
ABr2,TZ:Modern Romance,Bruno Kirby,Und,RU:
ABr2,TZ:Modern Romance,James L. Brooks,Und,RU:
ABr2,TZ:Modern Romance,Meadowlark Lemon,Und,RU:
ABr2,TZ:Modern Romance,George Kennedy,Und,RU:
ABr2,Modern Romance,Super Dave Osborne,Und,R:sporting goods salesman
ABr3,Lost in America,Albert Brooks,Und,"R:ad exec, escapes job in RV"
ABr3,Lost in America,Julie Hagerty,Und,"R:wife, loses nest egg"
ABr3,Lost in America,Garry K. Marshall,Und,R:casino boss
ABr3,Lost in America,Art Frankel,Und,R:job counselor
ABr4,Defending Your Life,Albert Brooks,Und,"R:yuppie adman, died untimely"
ABr4,Defending Your Life,Lee Grant,Und,R:heavenly judge
ABr4,Defending Your Life,s a,Und,R:heavenly prosecutor
ABr4,Defending Your Life,Meryl Streep,Und,R:dead perfect mother
ABr4,Defending Your Life,Rip Torn,Und,R:defense lawyer
ABr4,Defending Your Life,Shirley MacLaine,Cam,R:believer
ABr7,Mother,Debbie Reynolds,Und,R:befuddled mother
ABr7,Mother,s a,Und,"R:son, writer, moves back home"
ABr9,The Muse,Jennifer Tilly,Und,R:ditzy movie starjon
ABu10,Just Between Friends,Mary Tyler Moore,Und,R:disatisfied houswife
ABu10,Just Between Friends,Ted Danson,Und,RU:
ABu10,Just Between Friends,Christine Lahti,Und,R:lesbian love
ABu10,Just Between Friends,Sam Waterston,Und,"RZ:older husband, dies"
ABu10,Just Between Friends,Salome Jens,Und,RU:
ABW40,Busman's Honeymoon,Robert Montgomery,Und,R:landlord
ABW40,Busman's Honeymoon,Constance Cummings,Und,RS:bride
ABW40,Busman's Honeymoon,Seymour Hicks,Und,R:comic
ABW40,Busman's Honeymoon,Leslie Banks,Und,R:husband
ABW40,Busman's Honeymoon,Robert Newton,Und,RU:
ABW40,Busman's Honeymoon,Googie Withers,Und,RU:
ABW40,Busman's Honeymoon,Frank Pettingell,Und,RU:
ABz10,TZ:Portrait of a Hitman,Jack Palance,Und,RU:
ABz10,TZ:Portrait of a Hitman,Richard Roundtree,Und,RU:
ABz10,TZ:Portrait of a Hitman,Ann Turkel,Und,RU:
ABz10,TZ:Portrait of a Hitman,Bo Svenson,Und,RU:
ABz10,TZ:Portrait of a Hitman,Rod Steiger,Und,RU:
AbH1,Menace II Society,s a,Und,"R:black teen, murders"
AbH1,Menace II Society,s a,Und,"R:Korean storekeeper, murdered"
AbH1,Menace II Society,s a,Und,"R:Korean storekeeper's wife, murdered"
AC5,Don Juan,John Barrymore,Und,"R:rogue ""Don Juan"""
AC5,Don Juan,Mary Astor,Und,"RN:""Lucretia Borgia"""
AC5,Don Juan,Warner Oland,Und,RU:
AC5,Don Juan,Estelle Taylor,Und,RU:
AC5,Don Juan,Myrna loy,Und,RU:
AC5,Don Juan,Phyllis Haver,Und,RU:
AC5,Don Juan,Willard Louis,Und,RU:
AC5,Don Juan,Montague Love,Und,RU:
AC6,The Beloved Rogue,John Barrymore,Her,"R:rogue, befriends king ""Francois Villon"""
AC6,The Beloved Rogue,Conrad Veidt,Und,"R:king ""Louis XI"""
AC6,The Beloved Rogue,Marceline Day,Lov,RU:
AC6,The Beloved Rogue,Mack Swain,Und,RU:
AC6,The Beloved Rogue,Slim Summerville,Und,RU:
AC7,In Old San Francisco,Anna May Wong,Und,R:villain
AC7,In Old San Francisco,Sojin,Und,RU:
AC8,The Jazz Singer,Al Jolson,Und,"R:boy singer, cantor's son"
AC8,The Jazz Singer,May McAvoy,Und,RU:
AC8,The Jazz Singer,Warner Oland,Und,RU:
AC8,The Jazz Singer,Eugenie Besserer,Und,RU:
AC8,The Jazz Singer,Otto Lederer,Und,RU:
%,AC9,Glorious Betsy,Conrad Nagel,Und
AC9,Glorious Betsy,Dolores Costello,Und,R:Baltimore beauty
AC9,Glorious Betsy,John Miljan,Und,RU:
AC9,Glorious Betsy,Marc McDermott,Und,RU:
AC9,Glorious Betsy,Betty Blythe,Und,"RZ:princess ""Fredericka von Wurttemberg"""
AC9,Glorious Betsy,Paul Panzer,Und,RU:
AC9,Glorious Betsy,Michael Vavitch,Und,RU:
AC9,Glorious Betsy,Pasquale Amato,Und,"R:emperor ""Napoleon"""
AC20,The Great Impersonation,Edmund Lowe,Und,"R:German, impersonates British nobleman"
AC20,The Great Impersonation,Valerie Hobson,Und,RZ:nobleman's wife
AC20,The Great Impersonation,Vera Engels,Und,RU:
AC20,The Great Impersonation,Henry Mollison,Und,RU:
AC20,The Great Impersonation,Lumsden Hare,Und,RU:
AC20,The Great Impersonation,Spring Byington,Und,RU:
AC20,The Great Impersonation,Charles Waldron,Und,RU:
AC20,The Great Impersonation,Dwight Frye,Und,RU:
ACa40,Went the Day Well?,Leslie Banks,Und,"R:villager, resists paratroopers"
ACa40,Went the Day Well?,Elizabeth Allen,Und,RU:
ACa40,Went the Day Well?,Frank Lawton,Und,RU:
ACa40,Went the Day Well?,Basil Sidney,Und,RU:
ACa40,Went the Day Well?,Valerie Taylor,Und,RU:
ACa40,Went the Day Well?,Mervyn Johns,Und,RU:
ACa40,Went the Day Well?,Edward Rigby,Und,RU:
ACa40,Went the Day Well?,Marie Lohr,Und,RU:
ACa40,Went the Day Well?,C.V. France,Und,RU:
ACa40,Went the Day Well?,David Farrar,Und,RU:
ACa50,Dead of Night,Mervyn Jones,Und,"R:architect, dreams"
ACa50,Dead of Night,Roland Culver,Vic,"R:psychiatrist, killed"
ACa50,Dead of Night,Mary Merrall,Und,RU:
ACa50,Dead of Night,Judy Kelly,Und,RU:
ACa50,Dead of Night,Anthony Baird,Und,RU:
ACa50,Dead of Night,Miles Malleson,Und,RU:
ACa50,Dead of Night,Sally Ann Howes,Und,RU:
ACa50,Dead of Night,Frederick Valk,Und,RU:
ACa50,Dead of Night,Googie Withers,Und,RU:
ACa50,Dead of Night,Ralph Michael,Und,RU:
ACa50,Dead of Night,Esmé Percy,Und,RU:
ACa50,Dead of Night,Basil Radford,Und,RU:
ACa50,Dead of Night,Naunton Wayne,Und,RU:
ACa50,Dead of Night,Michael Redgrave,Und,R:schizophrenic ventriloquist
ACa50,Dead of Night,Hartley Power,Und,R:rival
ACa50,Dead of Night,Frederick Valk,Und,R:psychoanalyst
ACa50,Dead of Night,Elizabeth Welch,Und,RU:
ACa60,Nicholas Nickleby,Derek Bond,Und,"R:schoolmaster, joins entertainer"
ACa60,Nicholas Nickleby,Cedric Hardwicke,Und,"R:mean uncle, usurer"
ACa60,Nicholas Nickleby,Alfred Drayton,Und,"RZ:helper, adopted, turns out to be cousin"
ACa60,Nicholas Nickleby,Sybil Thorndyke,Und,RZ:deceived mother
ACa60,Nicholas Nickleby,Stanley Holloway,Und,RZ:traveling entertainer
ACa60,Nicholas Nickleby,Sally Ann Howes,Und,"RZ:innocent sister, being bartered ""Kathy"""
ACa60,Nicholas Nickleby,Jill Balcon,Und,"RZ:love, forced to marry uncle to save father"
ACa60,Nicholas Nickleby,Cyril Fletcher,Und,RZ:rich wimp
ACa60,Nicholas Nickleby,Fay Compton,Und,RZ:aunt
ACa60,Nicholas Nickleby,s a,Und,"R:father, dies prior to marriage"
ACa60,Nicholas Nickleby,s a,Und,"R:maltreated servant, revenges"
ACf10,Leave it to Beaver,Cameron Finley,Und,"R:kid ""Beaver"""
ACf10,Leave it to Beaver,Christopher McDonald,Und,"RN:""Ward"""
ACf10,Leave it to Beaver,Janine Turner,Und,"RN:""June"""
ACf10,Leave it to Beaver,Erik vonDetten,Und,"RN:""Wally"""
