H,title,year,director,producer,studio,process code,category code,awards
H1,Always Tell Your Wife,1922,D:Se.Hicks,P:Lasky,"St:Famous, SD:*",sbw,Dram,aw
H2,Number Thirteen,1922,D:Hitchcock,P:Hitchcock,"St:Islington, SD:Famous",sbw,,
H3,Woman to Woman,1922,D:Hitchcock,P:Balcon,"St:B-S-F, SD:Wardour",sbw,Dram,
H4,The Passionate Adventure,1924,D:Hitchcock,P:Balcon,"St:Gainsborough, SD:GaumontD",sbw,,
H5,The Blackguard,1925,D:Hitchcock,P:Balcon,"St:UFA, SD:Wardour",sbw,,
H7,The Pleasure Garden,1925,D:Hitchcock,P:Balcon,"St:Gainsborough and Emelka, SD:Wardour",sbw,Dram,H
H8,The Mountain Eagle,1926,D:Hitchcock,P:Balcon,"St:Gainsborough, Emelka, SD:Wardour",sbw,Dram,H
H9,The Lodger: A Story of The London Fog,1926,D:Hitchcock,P:Balcon,"St:Gainsborough, SD:(Wardour",sbw,Susp,
H10,Downhill,1927,D:Hitchcock,P:Balcon,"St:Islington; Gainsborough, SD:Wardour",sbw,Susp,
H11,Easy Virtue,1927,D:Hitchcock,P:Balcon,"St:Gainsborough, SD:Wardour",sbw,Susp,
H12,The Ring,1927,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",sbw,Susp,
H13,The Farmer's Wife,1928,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",sbw,Susp,
H14,Champagne,1928,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",sbw,Romt,
H15,Harmony Heaven,1929,D:Hitchcock,PN:,"St:BIP, SD:France-Societé des Ciné-Romans",col,Susp,H
H16,The Manxman,1929,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",sbw,Susp,H
H17,Blackmail,1929,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",bnw,Susp,
H18,Elstree Calling,1929,D:none,PN:,St:BIP Elstree,bnw,Musc,
H19,Juno And The Paycock,1930,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",bnw,Susp,H*
H20,Murder!,1930,D:Hitchcock,"P:J.Maxwell, Alfred Abel: German version","St:BIP Elstree, SD:Wardour",bnw,Myst,H**
H21,The Skin Game,1931,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",bnw,Dram,aw
H22,Rich and Strange,1932,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",bnw,Susp,
H23,Number Seventeen,1932,D:Hitchcock,P:J.Maxwell,"St:BIP Elstree, SD:Wardour",bnw,Myst,H*
H24,Lord Camber's Ladies,1932,D:Hitchcok,P:Hitchcock,"St:BIP Elstree, SD:Wardour",bnw,Susp,
H25,Waltzes From Vienna,1933,D:Hitchcock,PN:Tom Arnold,"St:Lime Grove, SD:G.F.D.",bnw,"Romt,Comd",H
H26,The Man Who Knew Too Much,1934,D:Hitchcock,"P:Balcon, Montagu","St:Gaumont Lime Grove, SD:G.F.D.",bnw,Susp,H***
H27,The 39 Steps,1935,D:Hitchcock,"P:Balcon, Montagu","St:Gaumont Lime Grove, SD:G.F.D.",bnw,Susp,H****
H28,Secret Agent,1936,D:Hitchcock,"P:Balcon, Montagu","St:Gaumont Lime Grove, SD:G.F.D.",bnw,Susp,
H29,Sabotage,1936,D:Hitchcock,"P:Balcon, Montague","St:Lime Grove, SD:G.F.D.",bnw,Susp,H***
H30,Young and Innocent,1938,D:Hitchcock,P:Black,"St:Lime Grove and Pinewood, SD:G.F.D.",bnw,Susp,
H31,The Lady Vanishes,1938,D:Hitchcock,P:Black,"St:Lime Grove Gainsborough, SD:MGM",bnw,Susp,
H32,Jamaica Inn,1939,D:Hitchcock,"P:Pommer, Laughton","St:Elstree, SD:Associated British, Paramount",bnw,Dram,W50
H33,Rebecca,1940,D:Hitchcock,P:Selznick,"St:Selznick, SD:U.A.",bnw,Dram,"AA, AAN dir, H****"
H34,Foreign Correspondent,1940,D:Hitchcock,P:Wanger,St:U.A.,bnw,Susp,"H****, AAN"
H35,Mr. and Mrs. Smith,1941,D:Hitchcock,P:Eddington,St:RKO,bnw,Romt,
H36,Suspicion,1941,D:Hitchcock,"P:Raphaelson, Hitchcock",St:RKO,"bnw,cld",Susp,
H37,Saboteur,1942,D:Hitchcock,"P:F.Lloyd, Skirball",St:Universal,bnw,Susp,H***
H38,Shadow of a Doubt,1943,D:Hitchcock,P:Skirball,St:Universal,bnw,Susp,
H39,Lifeboat,1943,D:Hitchcock,P:MacGowan,St:Fox,bnw,Susp,"H**, AAN dir"
H42,Spellbound,1945,D:Hitchcock,P:Selznick,"St:Selznick, SD:U.A.",bnw,Susp,"H**, AAN, AAN dir"
H43,Notorious,1946,D:Hitchcock,P:Hitchcock,St:RKO,bnw,Susp,H***
H44,The Paradine Case,1947,D:Hitchcock,P:Selznick,"St:Selznick, SD:U.A.",bnw,Susp,H**
H45,Rope,1948,D:Hitchcock,"P:Bernstein, Hitchcock","St:Transatlantic, SD:Warners",Tcol,Susp,H**
H46,Under Capricorn,1949,D:Hitchcock,"P:Bernstein, Hitchcock","St:Transatlantic, MGM British, SD:Warners",Tcol,Dram,
H47,Stage Fright,1950,D:Hitchcock,"P:Hitchcock, Ahern","St:Elstree, SD:Warners, SL:(Ge, GB)",ER(prc),Susp,
